Glove Case
Fracture Case
Dreams & Nightmares Case
Recoil Case
Revolution Case
Kilowatt Case
Fever Case
Sealed Genesis Terminal
Spectrum 2 Case
Danger Zone Case
AK-47 | Slate (Battle-Scarred)
Sawed-Off | The Kraken (Factory New)
Sticker | ropz (Holo, Champion) | Austin 2025
CS:GO Weapon Case 3
Dual Berettas | Royal Consorts (Field-Tested)
MP7 | Sunbaked (Well-Worn)
StatTrak™ AK-47 | Phantom Disruptor (Field-Tested)
FAMAS | Mecha Industries (Field-Tested)
Sealed Graffiti | Loser (Desert Amber)
Sealed Graffiti | Still Happy (Desert Amber)
Sealed Graffiti | Ninja (SWAT Blue)
Sealed Graffiti | GTG (Monster Purple)
Sealed Graffiti | Backstab (Tiger Orange)
Sealed Graffiti | Popdog (Shark White)
R8 Revolver | Cobalt Grip (Battle-Scarred)
MP9 | Capillary (Factory New)
StatTrak™ USP-S | Ticket to Hell (Well-Worn)
MAG-7 | Firestarter (Minimal Wear)
Glock-18 | Warhawk (Well-Worn)
P90 | Traction (Minimal Wear)
StatTrak™ M4A1-S | Night Terror (Well-Worn)
StatTrak™ MP9 | Dart (Minimal Wear)
Sticker | ropz (Holo) | Budapest 2025
Wildfire Pin
G3SG1 | Dream Glade (Battle-Scarred)
FAMAS | Grey Ghost (Well-Worn)
Negev | Terrain (Minimal Wear)
Negev | Terrain (Field-Tested)
Sealed Graffiti | GGEZ (Monster Purple)
Sealed Graffiti | Popdog (Cash Green)
Sealed Graffiti | Mr. Teeth (Battle Green)
Sealed Graffiti | Mr. Teeth (Brick Red)
Sealed Graffiti | Death Sentence (Brick Red)
Sealed Graffiti | Toasted (Brick Red)
MAC-10 | Monkeyflage (Well-Worn)
Dual Berettas | Ventilators (Field-Tested)
StatTrak™ FAMAS | Meow 36 (Battle-Scarred)
Galil AR | Firefight (Field-Tested)
StatTrak™ P2000 | Oceanic (Field-Tested)
StatTrak™ M4A1-S | Liquidation (Minimal Wear)
MAG-7 | Cobalt Core (Factory New)
MAC-10 | Disco Tech (Battle-Scarred)
Sticker | biguzera | Budapest 2025
Sticker | G2 Esports (Holo) | Austin 2025
StatTrak™ XM1014 | Irezumi (Battle-Scarred)
P250 | Constructivist (Field-Tested)
StatTrak™ AWP | Atheris (Battle-Scarred)
AWP | Ice Coaled (Minimal Wear)
Souvenir Nova | Wurst Hölle (Battle-Scarred)
Sticker | Free Hugs
Sticker | Spirit (Holo) | 2020 RMR
Sticker | Snax (Foil) | Austin 2025
Sticker | Lorena (Holo)
Sticker | Nemiga (Holo) | 2020 RMR
Glock-18 | Moonrise (Factory New)
★ Shadow Daggers | Autotronic (Field-Tested)
★ Shadow Daggers | Lore (Field-Tested)
Zeus x27 | Charged Up (Well-Worn)
AWP | Mortis (Battle-Scarred)
AWP | Mortis (Well-Worn)
Sticker | oSee | Paris 2023
Sticker | iM (Glitter) | Paris 2023
Sticker | Evidence (Holo)
Sticker | forZe eSports (Gold) | Paris 2023
PP-Bizon | Brass (Battle-Scarred)
Sticker | jks | Shanghai 2024
Sticker | cool4st (Foil) | Austin 2025
Patch | Gambit Gaming | Stockholm 2021
Sticker | exit (Holo) | Budapest 2025
Sticker | Pixel Avenger
Sticker | Evil Geniuses | Stockholm 2021
Sticker | Natus Vincere (Glitter) | Antwerp 2022
StatTrak™ Music Kit | bbno$, u mad!
Sticker | Kawaii T (Holo)
USP-S | Black Lotus (Battle-Scarred)
Tec-9 | Sandstorm (Battle-Scarred)
SG 553 | Danger Close (Minimal Wear)
StatTrak™ MAC-10 | Oceanic (Field-Tested)
SSG 08 | Ghost Crusader (Well-Worn)
M4A4 | Spider Lily (Field-Tested)
StatTrak™ SSG 08 | Memorial (Factory New)
Sticker | This Is Fine (T)
Sticker | Ninjas in Pyjamas (Holo) | Budapest 2025
Sealed Graffiti | Take Flight (War Pig Pink)
MAC-10 | Calf Skin (Factory New)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
UMP-45 | Corporal (Minimal Wear)
Vypa Sista of the Revolution | Guerrilla Warfare
MAC-10 | Heat (Well-Worn)
AWP | Hyper Beast (Field-Tested)
StatTrak™ MP9 | Mount Fuji (Field-Tested)
Sticker | Yellow Bombster
Sticker | JT | Budapest 2025
Souvenir Charm | Austin 2025 Highlight | Flying Frenchman
StatTrak™ AUG | Stymphalian (Field-Tested)
StatTrak™ MAG-7 | SWAG-7 (Field-Tested)
Sticker | k1to | Rio 2022
Sticker | KSCERATO | Rio 2022
Sticker | maden (Glitter) | Rio 2022
Sticker | slaxz- | Rio 2022
Sticker | rain | Rio 2022
Sticker | maden | Rio 2022
Sticker | KSCERATO (Gold) | Paris 2023
Sticker | rigoN (Glitter) | Rio 2022
Negev | Raw Ceramic (Well-Worn)
Glock-18 | Royal Legion (Field-Tested)
Souvenir AUG | Snake Pit (Battle-Scarred)
Desert Eagle | Kumicho Dragon (Minimal Wear)
StatTrak™ Tec-9 | Jambiya (Minimal Wear)
XM1014 | Black Tie (Field-Tested)
P2000 | Oceanic (Factory New)
StatTrak™ SG 553 | Dragon Tech (Factory New)
MP7 | Impire (Factory New)
Sticker | Cloud9 (Holo) | MLG Columbus 2016
★ StatTrak™ Survival Knife | Damascus Steel (Minimal Wear)
StatTrak™ XM1014 | Slipstream (Minimal Wear)
★ Nomad Knife | Forest DDPAT (Battle-Scarred)
SSG 08 | Orange Filigree (Minimal Wear)
★ Skeleton Knife | Forest DDPAT (Well-Worn)
Sticker | w0nderful (Holo, Champion) | Copenhagen 2024
Sealed Graffiti | OMG (Desert Amber)
Sealed Graffiti | Choke (Blood Red)
Sticker | coldzera (Gold) | Copenhagen 2024
Sticker | iM (Champion) | Copenhagen 2024
FAMAS | Valence (Minimal Wear)
Souvenir XM1014 | Blue Tire (Minimal Wear)
StatTrak™ Sawed-Off | Black Sand (Factory New)
Souvenir Dual Berettas | Oil Change (Minimal Wear)
Souvenir FAMAS | Faulty Wiring (Factory New)
Sticker | susp (Holo) | Austin 2025
Sticker | m0NESY (Glitter) | Shanghai 2024
Sticker | w0nderful (Glitter) | Shanghai 2024
Sticker | torzsi (Holo) | Shanghai 2024
Sticker | Maka (Glitter) | Shanghai 2024
P90 | Wash me (Well-Worn)
StatTrak™ Dual Berettas | Hideout (Factory New)
MP9 | Mount Fuji (Field-Tested)
AWP | Chrome Cannon (Minimal Wear)
StatTrak™ P250 | Verdigris (Factory New)
R8 Revolver | Blaze (Factory New)
MAC-10 | Whitefish (Well-Worn)
P250 | Drought (Minimal Wear)
P250 | Verdigris (Well-Worn)
Sticker | broky (Foil) | Austin 2025
Souvenir Charm | Austin 2025 Highlight | Inhuman Reactions
Souvenir Charm | Budapest 2025 Highlight | ropz vs FaZe on Dust II
Souvenir Charm | Austin 2025 Highlight | mzinho Double B-Site Entry
Souvenir Charm | Austin 2025 Highlight | Jimpphat: The Clutch God
Souvenir Charm | Austin 2025 Highlight | FalleN Closer
Souvenir Charm | Austin 2025 Highlight | Closing Kills
Souvenir Charm | Austin 2025 Highlight | b1t Double Entry
Sticker | huNter- (Gold) | Budapest 2025
Sticker | MATYS (Gold) | Budapest 2025
Sticker | mezii (Champion) | Austin 2025
Charm | Eye of Ball
StatTrak™ M4A1-S | Black Lotus (Field-Tested)
UMP-45 | Late Night Transit (Well-Worn)
StatTrak™ P250 | Nevermore (Factory New)
MAC-10 | Pipe Down (Minimal Wear)
★ Nomad Knife | Marble Fade (Factory New)
Sticker Slab | My Little Friend
Sticker | skullz (Embroidered) | Budapest 2025
Sticker | Legendary Eagle (Holo)
Sticker | Lucas (Holo)
StatTrak™ USP-S | Jawbreaker (Battle-Scarred)
AK-47 | Cartel (Battle-Scarred)
StatTrak™ M4A4 | Etch Lord (Battle-Scarred)
StatTrak™ MAC-10 | Light Box (Factory New)
StatTrak™ Zeus x27 | Tosai (Minimal Wear)
★ Kukri Knife | Scorched (Field-Tested)
★ Kukri Knife
FAMAS | 2A2F (Battle-Scarred)
★ StatTrak™ Kukri Knife | Night Stripe (Field-Tested)
Sticker Slab | FURIA (Glitter) | Paris 2023
Nova | Gila (Minimal Wear)
StatTrak™ P2000 | Turf (Minimal Wear)
M4A4 | Buzz Kill (Minimal Wear)
M249 | Submerged (Battle-Scarred)
FAMAS | Mecha Industries (Minimal Wear)
FAMAS | Yeti Camo (Well-Worn)
SSG 08 | Azure Glyph (Minimal Wear)
StatTrak™ FAMAS | Mecha Industries (Field-Tested)
MP7 | Cirrus (Well-Worn)
StatTrak™ Music Kit | Denzel Curry, ULTIMATE
Souvenir UMP-45 | Late Night Transit (Field-Tested)
Austin 2025 Dust II Souvenir Highlight Package
StatTrak™ CZ75-Auto | Twist (Minimal Wear)
Souvenir AUG | Steel Sentinel (Field-Tested)
Souvenir XM1014 | Run Run Run (Minimal Wear)
Souvenir AUG | Steel Sentinel (Factory New)
Souvenir Charm | Austin 2025 Highlight | Sharpshooter
Sticker | Jame | Shanghai 2024
Souvenir Charm | Austin 2025 Highlight | 910 Triple Kill vs Vitality
Souvenir Charm | Austin 2025 Highlight | ropz Clutch Denied
AK-47 | The Outsiders (Battle-Scarred)
StatTrak™ AK-47 | The Outsiders (Field-Tested)
Souvenir P250 | Nuclear Threat (Field-Tested)
Sticker | jL (Foil) | Austin 2025
Music Kit | Austin Wintory, Bachram
Sticker | molodoy (Foil) | Austin 2025
Sticker | Tyranids Ravener
Sticker | Aeldari Avatar
Sticker | TeSeS (Foil) | Austin 2025
Sticker | Ruby Wave (Lenticular)
StatTrak™ G3SG1 | Hunter (Battle-Scarred)
MAC-10 | Oceanic (Well-Worn)
Tec-9 | Cracked Opal (Minimal Wear)
MP9 | Goo (Well-Worn)
★ Navaja Knife | Damascus Steel (Field-Tested)
StatTrak™ AUG | Triqua (Battle-Scarred)
R8 Revolver | Llama Cannon (Field-Tested)
Sticker | Bite Me (Foil)
Sticker | Cluck
Sticker | One Sting
R8 Revolver | Memento (Factory New)
Sealed Graffiti | Sheriff (Battle Green)
Sealed Graffiti | Tilt (SWAT Blue)
Sealed Graffiti | Speechless (Brick Red)
Sealed Graffiti | Eye Spy (Tiger Orange)
Sealed Graffiti | GTG (Shark White)
Sealed Graffiti | Double (Jungle Green)
Sealed Graffiti | Worry (Shark White)
Sealed Graffiti | GTG (Violent Violet)
Sealed Graffiti | Lambda (War Pig Pink)
★ Driver Gloves | Overtake (Field-Tested)
★ Hydra Gloves | Mangrove (Battle-Scarred)
★ Hydra Gloves | Rattler (Well-Worn)
M4A1-S | Nightmare (Minimal Wear)
★ Hydra Gloves | Emerald (Field-Tested)
★ Hydra Gloves | Case Hardened (Well-Worn)
Tec-9 | Snek-9 (Field-Tested)
★ Moto Gloves | Polygon (Well-Worn)
★ Moto Gloves | POW! (Well-Worn)
Sticker | SunPayus (Gold) | Paris 2023
AK-47 | Blue Laminate (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
MP9 | Orange Peel (Factory New)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
AWP | Redline (Field-Tested)
StatTrak™ UMP-45 | Gold Bismuth (Battle-Scarred)
FAMAS | Pulse (Minimal Wear)
AWP | Redline (Well-Worn)
AWP | Electric Hive (Field-Tested)
Sticker | Hello MP7
SCAR-20 | Contractor (Battle-Scarred)
StatTrak™ P250 | Cyber Shell (Battle-Scarred)
Sawed-Off | Amber Fade (Factory New)
Souvenir AUG | Colony (Field-Tested)
M4A4 | Urban DDPAT (Well-Worn)
StatTrak™ XM1014 | XOXO (Field-Tested)
Souvenir Galil AR | Hunting Blind (Minimal Wear)
Souvenir M4A4 | Red DDPAT (Well-Worn)
StatTrak™ Music Kit | Laura Shigihara: Work Hard, Play Hard
Sticker | electroNic (Holo) | Stockholm 2021
Glock-18 | Weasel (Battle-Scarred)
StatTrak™ UMP-45 | Briefing (Field-Tested)
AUG | Syd Mead (Field-Tested)
StatTrak™ Tec-9 | Fuel Injector (Field-Tested)
MP9 | Airlock (Minimal Wear)
FAMAS | Roll Cage (Field-Tested)
G3SG1 | Ventilator (Well-Worn)
Sticker | Combine Helmet (Holo)
Sticker | In The Fire (Foil)
Sticker | Vortigaunt the Painter
UMP-45 | Riot (Minimal Wear)
Nova | Ranger (Minimal Wear)
StatTrak™ M4A1-S | Flashback (Minimal Wear)
P90 | Elite Build (Minimal Wear)
StatTrak™ UMP-45 | Riot (Field-Tested)
StatTrak™ USP-S | Torque (Factory New)
Sticker | Hobbit (Glitter) | Antwerp 2022
Sticker | Bombsquad
Sticker | Salute!
Sticker | Unicorn
Glock-18 | Water Elemental (Field-Tested)
StatTrak™ MAC-10 | Ensnared (Battle-Scarred)
StatTrak™ PP-Bizon | Space Cat (Field-Tested)
Five-SeveN | Fowl Play (Field-Tested)
XM1014 | Zombie Offensive (Well-Worn)
StatTrak™ Desert Eagle | Crimson Web (Field-Tested)
StatTrak™ CZ75-Auto | Tigris (Field-Tested)
StatTrak™ MAC-10 | Ultraviolet (Factory New)
Glock-18 | Water Elemental (Factory New)
StatTrak™ AK-47 | Nightwish (Battle-Scarred)
StatTrak™ Dual Berettas | Royal Consorts (Well-Worn)
USP-S | Cyrex (Battle-Scarred)
R8 Revolver | Inlay (Well-Worn)
P2000 | Turf (Minimal Wear)
USP-S | Desert Tactical (Battle-Scarred)
StatTrak™ MP7 | Cirrus (Well-Worn)
M4A1-S | Mud-Spec (Well-Worn)
StatTrak™ Nova | Gila (Factory New)
USP-S | Cyrex (Well-Worn)
Glock-18 | Ramese's Reach (Minimal Wear)
Sealed Graffiti | Ninja (Princess Pink)
Sealed Graffiti | Chess King (Brick Red)
Sealed Graffiti | Worry (Jungle Green)
Sealed Graffiti | Take Flight (Princess Pink)
Sealed Graffiti | X-Axes (War Pig Pink)
Sealed Graffiti | Mr. Teeth (Blood Red)
Sealed Graffiti | GTG (Desert Amber)
Sealed Graffiti | Double (Tiger Orange)
Sealed Graffiti | 8-Ball (Tiger Orange)
